 Total Nb of available Diagnostics: ndiagt=   191
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |MoistCor| 30 |       |SM      MR|W/s^2           |Heating correction due to moist thermodynamics
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |AB_gU   | 30 |   101 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   101 |AB_gV   | 30 |   100 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   102 |AB_gT   | 30 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   103 |AB_gS   | 30 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   104 |gTinAB  | 30 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   105 |gSinAB  | 30 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   106 |ADVr_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   107 |ADVx_TH | 30 |   108 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   108 |ADVy_TH | 30 |   107 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   109 |DFrE_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   110 |DFxE_TH | 30 |   111 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   111 |DFyE_TH | 30 |   110 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   112 |DFrI_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   113 |ADVr_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   114 |ADVx_SLT| 30 |   115 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   115 |ADVy_SLT| 30 |   114 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   116 |DFrE_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   117 |DFxE_SLT| 30 |   118 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   118 |DFyE_SLT| 30 |   117 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   119 |DFrI_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   120 |SALTFILL| 30 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   121 |VISCAHZ | 30 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   122 |VISCA4Z | 30 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   123 |VISCAHD | 30 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   124 |VISCA4D | 30 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   125 |VISCAHW | 30 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   126 |VISCA4W | 30 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   127 |VAHZMAX | 30 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   128 |VA4ZMAX | 30 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   129 |VAHDMAX | 30 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   130 |VA4DMAX | 30 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   131 |VAHZMIN | 30 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMIN | 30 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMIN | 30 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMIN | 30 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZLTH | 30 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZLTH | 30 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDLTH | 30 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DLTH | 30 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTHD| 30 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTHD| 30 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTHD| 30 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTHD| 30 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZSMAG| 30 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZSMAG| 30 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   145 |VAHDSMAG| 30 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DSMAG| 30 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   147 |momKE   | 30 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   148 |momHDiv | 30 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   149 |momVort3| 30 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   150 |Strain  | 30 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   151 |Tension | 30 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   152 |UBotDrag| 30 |   153 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   153 |VBotDrag| 30 |   152 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   154 |USidDrag| 30 |   155 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   155 |VSidDrag| 30 |   154 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   156 |Um_Diss | 30 |   157 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   157 |Vm_Diss | 30 |   156 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   158 |Um_Advec| 30 |   159 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   159 |Vm_Advec| 30 |   158 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   160 |Um_Cori | 30 |   161 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   161 |Vm_Cori | 30 |   160 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   162 |Um_dPHdx| 30 |   163 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   163 |Vm_dPHdy| 30 |   162 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   164 |Um_Ext  | 30 |   165 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   165 |Vm_Ext  | 30 |   164 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   166 |Um_AdvZ3| 30 |   167 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   167 |Vm_AdvZ3| 30 |   166 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   168 |Um_AdvRe| 30 |   169 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   169 |Vm_AdvRe| 30 |   168 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   170 |ADVx_Um | 30 |   171 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   171 |ADVy_Um | 30 |   170 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   172 |ADVrE_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   173 |ADVx_Vm | 30 |   174 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   174 |ADVy_Vm | 30 |   173 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   175 |ADVrE_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   176 |VISCx_Um| 30 |   177 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   177 |VISCy_Um| 30 |   176 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   178 |VISrE_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   179 |VISrI_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   180 |VISCx_Vm| 30 |   181 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   181 |VISCy_Vm| 30 |   180 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   182 |VISrE_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   183 |VISrI_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   184 |LaUH1TH | 42 |   185 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   185 |LaVH1TH | 42 |   184 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   186 |LaHw1TH | 42 |   187 |SU      MX|m               |Layer Thickness at U points (m)
   187 |LaHs1TH | 42 |   186 |SV      MX|m               |Layer Thickness at V points (m)
   188 |LaPw1TH | 42 |   189 |SU      MX|1               |Layer Probability at U points [-]
   189 |LaPs1TH | 42 |   188 |SV      MX|1               |Layer Probability at V points [-]
   190 |LaUa1TH | 42 |   191 |UU      MX|m/s             |Layer-averaged U velocity (non-weighted) (m/s)
   191 |LaVa1TH | 42 |   190 |VV      MX|m/s             |Layer-averaged V velocity (non-weighted) (m/s)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
